,Unnamed: 0,High,Low,Open,Close,Datetime,ama,rsi,atr,signal,closest_expiry,dby,position,atmSP,wingCall,wingPut,legPriceOrignal1,legPriceOrignal2,legPriceOrignal3,legPriceOrignal4,lpos1,lpos2,lpos3,lpos4,legAfterPos1,legAfterPos2,legAfterPos3,legAfterPos4,legAfterPosDiff1,legAfterPosDiff2,legAfterPosDiff3,legAfterPosDiff4,legPriceFinal1,legPriceFinal2,legPriceFinal3,legPriceFinal4,m2m1,m2m2,m2m3,m2m4,totalPL,cumReturns,balance,stoploss
30,30,17726.05,17702.65,17708.75,17703.5,2022-01-04 10:30:00+05:30,17552.818442400356,70.50039416652311,38.871428571428105,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,97.45,82.25,11.9,15.3,-1.0,-1.0,1.0,1.0,-97.45,-82.25,11.9,15.3,0.0,0.0,0.0,0.0,-103.55,-80.65,12.7,15.75,-6.099999999999994,1.5999999999999943,0.7999999999999989,0.4499999999999993,162.50000000000009,479.9999999999999,98805.0,-2520.0
31,31,17712.8,17682.0,17703.45,17707.85,2022-01-04 10:45:00+05:30,17560.660378325134,71.03822760144728,39.26785714285662,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,88.0,89.15,9.9,17.05,-1.0,-1.0,1.0,1.0,-88.0,-89.15,9.9,17.05,0.0,0.0,0.0,0.0,-97.45,-82.25,11.9,15.3,-9.450000000000003,6.900000000000006,2.0,-1.75,114.99999999999986,594.9999999999998,98920.0,-2405.0
32,32,17717.1,17694.2,17707.7,17698.8,2022-01-04 11:00:00+05:30,17568.263649276698,68.25030824758237,39.39999999999937,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,92.9,82.2,10.3,15.5,-1.0,-1.0,1.0,1.0,-92.9,-82.2,10.3,15.5,0.0,0.0,0.0,0.0,-88.0,-89.15,9.9,17.05,4.900000000000006,-6.950000000000003,-0.40000000000000036,1.5500000000000007,44.999999999999844,639.9999999999997,98965.0,-2360.0000000000005
33,33,17703.05,17665.2,17698.3,17679.7,2022-01-04 11:15:00+05:30,17575.427950803973,62.66103756315802,39.932142857142026,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,82.15,91.6,8.8,17.2,-1.0,-1.0,1.0,1.0,-82.15,-91.6,8.8,17.2,0.0,0.0,0.0,0.0,-92.9,-82.2,10.3,15.5,-10.75,9.399999999999991,1.5,-1.6999999999999993,77.5000000000004,717.5,99042.5,-2282.5
34,34,17711.15,17679.0,17679.1,17710.5,2022-01-04 11:30:00+05:30,17582.464578252,67.31010722966548,40.2142857142852,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,76.5,96.15,8.3,17.45,-1.0,-1.0,1.0,1.0,-76.5,-96.15,8.3,17.45,0.0,0.0,0.0,0.0,-82.15,-91.6,8.8,17.2,-5.650000000000006,4.550000000000011,0.5,-0.25,42.499999999999716,759.9999999999998,99085.0,-2240.0
35,35,17717.95,17701.1,17709.15,17713.85,2022-01-04 11:45:00+05:30,17589.357715596474,67.78000997672457,39.235714285713975,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,88.45,83.0,9.2,15.4,-1.0,-1.0,1.0,1.0,-88.45,-83.0,9.2,15.4,0.0,0.0,0.0,0.0,-76.5,-96.15,8.3,17.45,11.950000000000003,-13.150000000000006,-0.8999999999999986,2.049999999999999,2.5000000000001243,762.4999999999999,99087.5,-2237.5
36,36,17731.4,17706.7,17713.65,17727.95,2022-01-04 12:00:00+05:30,17596.203872443642,69.75091509710472,39.39285714285688,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,90.9,81.7,9.45,15.15,-1.0,-1.0,1.0,1.0,-90.9,-81.7,9.45,15.15,0.0,0.0,0.0,0.0,-88.45,-83.0,9.2,15.4,2.450000000000003,-1.2999999999999972,-0.25,0.25,-57.500000000000284,704.9999999999995,99030.0,-2237.5
37,37,17734.0,17717.65,17727.5,17727.0,2022-01-04 12:15:00+05:30,17602.936793260047,69.44269845772257,39.49999999999974,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,97.15,74.25,9.9,13.5,-1.0,-1.0,1.0,1.0,-97.15,-74.25,9.9,13.5,0.0,0.0,0.0,0.0,-90.9,-81.7,9.45,15.15,6.25,-7.450000000000003,-0.45000000000000107,1.6500000000000004,1.7763568394002505e-13,704.9999999999998,99030.0,-2237.5
38,38,17742.55,17718.15,17727.1,17738.45,2022-01-04 12:30:00+05:30,17609.61159725056,71.10024920549141,37.26428571428524,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,92.7,76.05,8.85,14.65,-1.0,-1.0,1.0,1.0,-92.7,-76.05,8.85,14.65,0.0,0.0,0.0,0.0,-97.15,-74.25,9.9,13.5,-4.450000000000003,1.7999999999999972,1.0500000000000007,-1.1500000000000004,137.50000000000026,842.5,99167.5,-2157.5
39,39,17743.95,17719.3,17738.75,17730.3,2022-01-04 12:45:00+05:30,17616.11005243226,68.26189256245621,34.174999999999535,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,97.75,69.3,9.35,13.2,-1.0,-1.0,1.0,1.0,-97.75,-69.3,9.35,13.2,0.0,0.0,0.0,0.0,-92.7,-76.05,8.85,14.65,5.049999999999997,-6.75,-0.5,1.450000000000001,37.500000000000085,880.0000000000001,99205.0,-2120.0
40,40,17738.35,17707.15,17730.7,17712.35,2022-01-04 13:00:00+05:30,17622.22156985426,62.35748957145161,28.485714285713453,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,98.6,72.15,9.1,13.65,-1.0,-1.0,1.0,1.0,-98.6,-72.15,9.1,13.65,0.0,0.0,0.0,0.0,-97.75,-69.3,9.35,13.2,0.8499999999999943,2.8500000000000085,0.25,-0.45000000000000107,-175.00000000000009,705.0,99030.0,-2120.0
41,41,17720.55,17696.0,17710.95,17716.05,2022-01-04 13:15:00+05:30,17628.004073338452,63.066640113297865,26.764285714284988,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,85.35,81.7,7.45,14.95,-1.0,-1.0,1.0,1.0,-85.35,-81.7,7.45,14.95,0.0,0.0,0.0,0.0,-98.6,-72.15,9.1,13.65,-13.25,9.549999999999997,1.6499999999999995,-1.299999999999999,167.5000000000001,872.5000000000001,99197.5,-2120.0
42,42,17721.65,17681.7,17716.2,17682.05,2022-01-04 13:30:00+05:30,17633.17220391806,53.15653232911794,27.44642857142805,Hold,2022-01-06 00:00:00+00:00,06JAN22,beginx,17700.0,18000.0,17400.0,94.9,71.15,8.55,12.95,-1.0,-1.0,1.0,1.0,-94.9,-71.15,8.55,12.95,0.0,0.0,0.0,0.0,-85.35,-81.7,7.45,14.95,9.550000000000011,-10.549999999999997,-1.1000000000000005,2.0,4.999999999999316,877.4999999999994,99202.5,-2120.0
