,High,Low,Open,Close,Datetime,ama,rsi,atr,signal,closest_expiry,dby,position,atmSP,wingCall,wingPut,legPriceOrignal1,legPriceOrignal2,legPriceOrignal3,legPriceOrignal4,lpos1,lpos2,lpos3,lpos4,legAfterPos1,legAfterPos2,legAfterPos3,legAfterPos4,legAfterPosDiff1,legAfterPosDiff2,legAfterPosDiff3,legAfterPosDiff4,legPriceFinal1,legPriceFinal2,legPriceFinal3,legPriceFinal4,m2m1,m2m2,m2m3,m2m4,totalPL,cumReturns,balance,stoploss
2977,11715.9,11695.6,11700.0,11703.55,2019-06-19 12:30:00+05:30,11727.181204264496,42.294434255077725,21.4142857142858,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,12.25,115.0,1.0,15.35,-1.0,-1.0,1.0,1.0,-12.25,-115.0,1.0,15.35,0.0,0.0,0.0,0.0,-14.65,-100.5,1.05,12.15,-2.4000000000000004,14.5,0.050000000000000044,-3.1999999999999993,-447.50000000000006,-1787.5000000000002,126945.0,-2932.5
2978,11717.1,11701.15,11703.75,11716.1,2019-06-19 12:45:00+05:30,11727.353029006565,46.27358856425434,19.192857142857324,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,12.95,107.0,1.05,12.65,-1.0,-1.0,1.0,1.0,-12.95,-107.0,1.05,12.65,0.0,0.0,0.0,0.0,-12.25,-115.0,1.0,15.35,0.6999999999999993,-8.0,-0.050000000000000044,2.6999999999999993,232.50000000000006,-1555.0000000000002,127177.5,-2932.5
2979,11727.3,11712.85,11716.05,11715.1,2019-06-19 13:00:00+05:30,11727.378022348186,46.00139052332115,18.84285714285722,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,15.8,90.9,1.15,8.9,-1.0,-1.0,1.0,1.0,-15.8,-90.9,1.15,8.9,0.0,0.0,0.0,0.0,-12.95,-107.0,1.05,12.65,2.8500000000000014,-16.099999999999994,-0.09999999999999987,3.75,479.9999999999996,-1075.0000000000007,127657.5,-2932.5
2980,11716.2,11703.25,11714.95,11703.65,2019-06-19 13:15:00+05:30,11727.177621547207,42.890377339874696,18.746428571428623,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,13.0,102.8,1.1,11.9,-1.0,-1.0,1.0,1.0,-13.0,-102.8,1.1,11.9,0.0,0.0,0.0,0.0,-15.8,-90.9,1.15,8.9,-2.8000000000000007,11.899999999999991,0.04999999999999982,-3.0,-307.49999999999955,-1382.5000000000002,127350.0,-2932.5
2981,11716.45,11695.95,11703.9,11708.1,2019-06-19 13:30:00+05:30,11726.840429627586,44.462394388318735,19.214285714285715,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,9.55,112.2,1.0,14.3,-1.0,-1.0,1.0,1.0,-9.55,-112.2,1.0,14.3,0.0,0.0,0.0,0.0,-13.0,-102.8,1.1,11.9,-3.4499999999999993,9.400000000000006,0.10000000000000009,-2.4000000000000004,-182.50000000000028,-1565.0000000000005,127167.5,-2932.5
2982,11710.25,11695.25,11708.15,11699.15,2019-06-19 13:45:00+05:30,11726.311788696612,41.96067749975648,19.278571428571404,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,9.55,105.2,1.05,11.85,-1.0,-1.0,1.0,1.0,-9.55,-105.2,1.05,11.85,0.0,0.0,0.0,0.0,-9.55,-112.2,1.0,14.3,0.0,-7.0,-0.050000000000000044,2.450000000000001,229.99999999999994,-1335.0000000000005,127397.5,-2932.5
2983,11698.65,11662.7,11698.65,11679.65,2019-06-19 14:00:00+05:30,11725.451988835355,37.0670630490885,20.89642857142852,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,7.2,117.9,0.85,14.75,-1.0,-1.0,1.0,1.0,-7.2,-117.9,0.85,14.75,0.0,0.0,0.0,0.0,-9.55,-105.2,1.05,11.85,-2.3500000000000005,12.700000000000003,0.20000000000000007,-2.9000000000000004,-382.5,-1717.5000000000005,127015.0,-2932.5
2984,11688.35,11672.05,11679.45,11681.75,2019-06-19 14:15:00+05:30,11724.35561188148,37.906909518688686,21.54285714285717,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11800.0,12000.0,11600.0,6.25,132.75,1.0,15.6,-1.0,-1.0,1.0,1.0,-6.25,-132.75,1.0,15.6,0.0,0.0,0.0,0.0,-7.2,-117.9,0.85,14.75,-0.9500000000000002,14.849999999999994,-0.15000000000000002,-0.8499999999999996,-644.9999999999998,-2362.5,126370.0,-2932.5
2985,11683.1,11643.0,11681.7,11648.35,2019-06-19 14:30:00+05:30,11722.763291056735,30.854305082492985,22.625,Sell,2019-06-20 00:00:00+00:00,20JUN19,sell,11800.0,12000.0,11600.0,5.55,138.05,0.95,16.0,-2.0,0.0,2.0,2.0,-11.1,0.0,1.9,32.0,-5.55,138.05,0.95,16.0,-11.8,5.300000000000011,1.95,31.6,-0.7000000000000011,5.300000000000011,0.050000000000000044,-0.3999999999999986,-212.50000000000057,-2575.0000000000005,126157.5,-2932.5
2986,11653.0,11625.1,11648.55,11650.8,2019-06-19 14:45:00+05:30,11720.815428522956,31.85583544453407,22.97857142857135,Hold,2019-06-20 00:00:00+00:00,20JUN19,sell,11800.0,12000.0,11600.0,3.45,163.6,0.95,22.45,-2.0,0.0,2.0,2.0,-6.9,0.0,1.9,44.9,0.0,0.0,0.0,0.0,-11.1,0.0,1.9,32.0,-4.199999999999999,0.0,0.0,-12.899999999999999,854.9999999999999,-1720.0000000000005,127012.5,-2932.5
2987,11703.25,11649.3,11651.4,11702.4,2019-06-19 15:00:00+05:30,11719.07234722805,48.70686727949457,24.68928571428569,Hold,2019-06-20 00:00:00+00:00,20JUN19,sell,11800.0,12000.0,11600.0,5.55,140.85,0.95,14.75,-2.0,0.0,2.0,2.0,-11.1,0.0,1.9,29.5,0.0,0.0,0.0,0.0,-6.9,0.0,1.9,44.9,4.199999999999999,0.0,0.0,15.399999999999999,-979.9999999999999,-2700.0000000000005,126032.5,-2932.5
2988,11713.2,11688.35,11702.15,11708.0,2019-06-19 15:15:00+05:30,11717.563618469296,50.14767573198247,25.30000000000005,Hold,2019-06-20 00:00:00+00:00,20JUN19,squareoff,11800.0,12000.0,11600.0,8.3,110.05,1.05,10.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,-2.1,-21.5,5.500000000000002,0.0,-0.20000000000000018,8.0,5.500000000000002,0.0,-0.20000000000000018,8.0,-665.0,-3365.0000000000005,125367.5,
2989,11709.85,11691.45,11708.35,11691.45,2019-06-19 15:30:00+05:30,11716.10038381004,46.03234470580277,24.68928571428569,Hold,2019-06-20 00:00:00+00:00,20JUN19,hold,11800.0,12000.0,11600.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,125367.5,
2990,11671.6,11635.05,11662.3,11643.35,2019-06-20 09:15:00+05:30,11712.247152986009,36.50218725755784,26.51071428571452,Hold,2019-06-20 00:00:00+00:00,20JUN19,hold,11800.0,12000.0,11600.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,125367.5,
2991,11694.3,11643.25,11643.25,11693.1,2019-06-20 09:30:00+05:30,11710.393048841424,48.96986600364652,29.01785714285728,Hold,2019-06-20 00:00:00+00:00,20JUN19,hold,11800.0,12000.0,11600.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,125367.5,
2992,11716.8,11686.45,11694.65,11710.9,2019-06-20 09:45:00+05:30,11708.90407425338,52.55901997955576,30.15357142857153,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11700.0,11800.0,11600.0,29.95,24.3,2.45,3.85,-1.0,-1.0,1.0,1.0,-29.95,-24.3,2.45,3.85,,,,,,,,,0.0,0.0,0.0,0.0,-0.0,0.0,125367.5,
2993,11720.85,11708.2,11710.6,11719.35,2019-06-20 10:00:00+05:30,11707.799420307902,54.20565966772063,30.132142857142885,Hold,2019-06-20 00:00:00+00:00,20JUN19,beginx,11700.0,11800.0,11600.0,41.9,16.05,4.4,2.1,-1.0,-1.0,1.0,1.0,-41.9,-16.05,4.4,2.1,0.0,0.0,0.0,0.0,-29.95,-24.3,2.45,3.85,11.95,-8.25,-1.9500000000000002,1.75,-174.99999999999994,-174.99999999999994,125192.5,-3000.0
