,Date,Daily Brokerage,Signals
144,2019-07-31,80,"beginx, hold, squareoff"
145,2019-08-01,220,"beginx, squareoff, hold, sell"
146,2019-08-02,220,"beginx, squareoff, hold, buy"
147,2019-08-05,80,"beginx, hold, squareoff"
148,2019-08-06,220,"beginx, squareoff, hold, buy"
149,2019-08-07,140,"beginx, squareoff, hold, sell"
150,2019-08-08,140,"beginx, squareoff, hold, buy"
151,2019-08-09,80,"beginx, hold, squareoff"
152,2019-08-13,220,"beginx, squareoff, hold, sell"
153,2019-08-14,80,"beginx, hold, squareoff"
154,2019-08-16,140,"beginx, squareoff, hold, buy"
155,2019-08-19,80,"beginx, hold, squareoff"
156,2019-08-20,80,"beginx, hold, squareoff"
157,2019-08-21,220,"beginx, squareoff, hold, sell"
158,2019-08-22,80,"beginx, hold, squareoff"
159,2019-08-23,80,"beginx, hold, squareoff"
160,2019-08-26,220,"beginx, squareoff, hold, buy"
161,2019-08-27,80,"beginx, hold, squareoff"
162,2019-08-28,140,"beginx, squareoff, hold, sell"
163,2019-08-29,140,"beginx, squareoff, hold, sell"
164,2019-08-30,220,"beginx, squareoff, hold, sell"
165,2019-09-03,140,"beginx, squareoff, hold, sell"
166,2019-09-04,80,"beginx, hold, squareoff"
167,2019-09-05,140,"beginx, hold, hard-squareoff, buy"
168,2019-09-06,220,"beginx, squareoff, hold, buy"
169,2019-09-09,80,"beginx, hold, squareoff"
170,2019-09-11,140,"beginx, squareoff, hold, buy"
171,2019-09-12,140,"beginx, squareoff, hold, sell"
172,2019-09-13,140,"beginx, hold, hard-squareoff, sell"
173,2019-09-16,140,"beginx, squareoff, hold, sell"
174,2019-09-17,80,"beginx, hold, squareoff"
175,2019-09-18,140,"beginx, squareoff, hold, sell"
176,2019-09-19,80,"beginx, hold, squareoff"
177,2019-09-20,80,"beginx, hold, hard-squareoff"
178,2019-09-23,80,"beginx, hold, squareoff"
179,2019-09-24,140,"beginx, squareoff, hold, buy"
180,2019-09-25,80,"beginx, hold, squareoff"
181,2019-09-26,140,"beginx, squareoff, hold, buy"
182,2019-09-27,140,"beginx, squareoff, hold, sell"
183,2019-09-30,80,"beginx, hold, squareoff"
184,2019-10-01,220,"beginx, squareoff, hold, sell"
185,2019-10-03,140,"beginx, squareoff, hold, sell"
186,2019-10-04,140,"beginx, squareoff, hold, sell"
187,2019-10-07,140,"beginx, squareoff, hold, sell"
188,2019-10-09,220,"hard-squareoff, beginx, squareoff, hold, buy"
189,2019-10-10,140,"beginx, squareoff, hold, sell"
190,2019-10-11,80,"beginx, hold, squareoff"
191,2019-10-14,80,"beginx, hold, squareoff"
192,2019-10-15,220,"beginx, squareoff, hold, buy"
193,2019-10-16,140,"beginx, squareoff, hold, buy"
194,2019-10-17,80,"beginx, hold, squareoff"
195,2019-10-18,80,"beginx, hold, squareoff"
196,2019-10-22,80,"beginx, hold, squareoff"
197,2019-10-23,80,"beginx, hold, squareoff"
198,2019-10-24,140,"beginx, squareoff, hold, sell"
199,2019-10-25,220,"beginx, squareoff, hold, sell"
200,2019-10-29,80,"beginx, hold, hard-squareoff"
201,2019-10-30,140,"beginx, squareoff, hold, buy"
202,2019-10-31,80,"beginx, hold, squareoff"
203,2019-11-01,80,"beginx, hold, squareoff"
204,2019-11-04,80,"beginx, hold, squareoff"
